country,hospital_ID,no_of_staff,no_of_patients,male_patients,female_patients,no_of_beds,hospital_category,No_of_deaths_in_2022,No_of_deaths_in_2023
belgium,318c1f58cfcbda9,2668,8600,5,8595,7182,speciality,1715,1730
bahrain,9c9ad5abae300f4,3456,6903,83,6820,3540,children,72,87
bangladesh,dffd5cb3c19fa22,95,5042,208,4834,2232,children,51,66
bangladesh,fff54ebcb7f443b,7,5299,54,5245,47,children,54,69
belgium,a832ebc6811df1a,329,2996,163,2833,1243,children,28,43
belgium,61521f79cd45a7b,3,321,113,208,42,children,59,74
belgium,cc88150b8ecad8c,491,4619,209,4410,2102,teaching,919,934
belgium,5b77f60c3cc6ae6,1438,5971,64,5907,5073,teaching,73,88
belgium,31aeba479968af3,24,5962,105,5857,48,outpatient,72,87
belgium,97bfc3c2f851b8b,279,3081,218,2863,715,day_surgery,35,50
bahrain,0aab0baad1d0622,302,4813,131,4682,763,teaching,48,63
belgium,68aa8ddf26e3aca,92,2540,233,2307,145,standalone_emergency,28,43
belgium,fb20b12fcf3f4be,722,9652,2,9650,1711,general,120,135
belgium,5cb0bbca289679c,1441,5406,157,5249,3517,standalone_emergency,65,80
belgium,44b829ad3abbdf3,1555,6412,189,6223,1609,teaching,78,93
belgium,ddce3797f22d3ae,955,3985,220,3765,3781,speciality,47,62
belgium,78ea4c2c1cb83ab,468,8534,46,8488,1428,general,106,121
belgium,faacec3019bf7f5,734,2788,174,2614,2775,psychiatric,31,46
belgium,89adcc6b8715b23,660,6016,170,5846,1712,rehabilitation,73,88
belgium,bdf1b9f31a0dacb,167,4256,247,4009,2242,speciality,50,65
belgium,a11b2cc54eae95b,70,643,99,544,190,psychiatric,3,18
belgium,c3ba071a2bb4d6f,542,1053,43,1010,946,outpatient,9,24
belgium,a51ffffdb11cff2,222,6030,292,5738,711,day_surgery,73,88
belgium,944bb87fc8a613e,1139,6412,97,6315,3639,children,78,93
belgium,d1f772a3528ecfc,88,338,127,211,131,children,10,14
belgium,4255e3e4acf7abf,359,7374,220,7154,4058,standalone_emergency,91,106
botswana,d214d152bdf2f3d,247,1175,50,1125,444,children,10,25
botswana,cdbd7720bba0bf5,2247,9676,190,9486,3742,children,121,136
botswana,ed8abdcda9dd862,4440,9231,90,9141,5141,research,115,130
botswana,a3a8d60af487c75,3603,6150,59,6091,6002,general,75,90
belgium,c087578943f19e4,641,7222,253,6969,1862,standalone_emergency,89,104
belgium,9d7e4c3afd2392c,24,157,215,58,84,day_surgery,32,12
belgium,9ec72158e7c46d2,122,219,106,113,143,research,2,13
botswana,ffb1a8af4fec7ce,6026,9751,36,9715,9123,teaching,970,985
botswana,afcbe39d8b0b2f6,3438,7241,203,7038,5492,children,719,734
botswana,040bddafc73cb32,183,5597,185,5412,3585,research,555,570
botswana,b25ffe2fdbc55d1,297,3811,16,3795,1064,outpatient,376,391
botswana,b598519fdfc530b,3039,8830,4,8826,7656,psychiatric,878,893
botswana,7db53b8ca40ab0d,523,1878,148,1730,874,children,183,198
botswana,eaa4e1cf00ee3c2,2674,7349,142,7207,3628,speciality,730,745
botswana,56bdd78bbcdcca4,730,5821,234,5587,2058,rehabilitation,577,592
brazil,dedd9d0aa6115d3,2370,9151,215,8936,6012,teaching,910,925
brazil,c763f85cc571e19,140,8471,44,8427,214,children,842,857
brazil,a376a6d71f1c36c,990,3778,1,3777,3282,children,373,388
brazil,f73b358bf010f7f,793,3101,1,3100,1056,day_surgery,305,320
brazil,3899d932c149e5c,459,6403,172,6231,1525,standalone_emergency,635,650
brazil,ddba684d69764eb,2883,3806,7,3799,3359,research,376,391
brazil,51acf1269e194e8,123,10,173,172,15,speciality,33,11
brazil,ebdceaf8b6b2fb5,2303,5199,47,5152,2829,children,515,530
brazil,db82eaf8e7a59af,5015,7188,206,6982,6335,rehabilitation,714,729
brazil,18c26fd0fad73e3,1764,9655,166,9489,3903,general,961,976
brazil,afee981fbacdbe8,1527,7809,224,7585,3731,general,776,791
brazil,ce017b247db1ede,642,6029,116,5913,4123,rehabilitation,598,613
brazil,55cc2d7816506bd,201,5096,285,4811,1948,children,505,520
brazil,ec2dae361f8bb30,75,886,230,656,284,general,84,99
brazil,fe8bbb899efcb06,91,959,150,809,145,teaching,91,106
brunei darussalam,9dd10a3ccb2b1bd,1048,3468,122,3346,1838,children,342,357
brunei darussalam,e84e97db7bfaded,138,1145,260,885,666,children,110,125
brunei darussalam,df39abf66ae4d0c,273,8213,212,8001,1516,day_surgery,816,831
brunei darussalam,6b345d487edf9df,425,5533,191,5342,2081,speciality,548,563
bulgaria,e5ca6529dcd4030,329,9890,55,9835,5898,children,984,999
bulgaria,4cd5cc59b0aa9c5,1899,6336,196,6140,2472,research,629,644
bulgaria,a0dcf3bcf1addea,444,4815,298,4517,3037,outpatient,477,492
bulgaria,0fbfeda9d5e0b69,664,3958,58,3900,1198,children,102,117
bulgaria,c44a5cdf9c829e3,104,2273,124,2149,979,teaching,77,92
bulgaria,ee1adb78478bf80,2254,7532,150,7382,7053,general,153,168
bulgaria,2fff9ac231a6768,32,5250,115,5135,80,children,120,135
bulgaria,7647af9d4705c6b,74,9497,199,9298,978,standalone_emergency,181,196
bulgaria,c6eb96acc73baa0,115,3619,42,3577,357,psychiatric,97,112
cambodia,67eeacabcfccb6c,1681,9666,44,9622,8519,outpatient,183,198
cambodia,edbdabfd62cbea7,1013,7663,291,7372,4239,speciality,154,169
cambodia,6bdeeb7334ec8a1,651,7150,261,6889,890,children,147,162
cambodia,dfcadad69fe1d2a,56,305,87,218,67,children,49,64
cambodia,f6025bcbbd3953e,524,1422,291,1131,1355,children,65,80
cambodia,958cabb9b17124d,552,8250,137,8113,2626,children,163,178
cameroon,a8fd24e2bb7d0fd,656,4110,272,3838,3463,research,104,119
cameroon,19d7de485e79df6,651,5594,266,5328,4646,children,125,140
cameroon,3c6fd0d86e7baaf,5,404,57,347,285,children,51,66
cameroon,8c4d487cabce6e9,361,1740,299,1441,581,teaching,70,85
canada,3851f381ea54d70,4448,6765,207,6558,6356,children,142,157
canada,a0bbb5ab97fe257,203,1310,232,1078,501,children,64,79
canada,54fa48043aaacd4,140,3118,73,3045,515,rehabilitation,90,105
canada,0d2d0dc2ddb267c,10,28,50,22,10,standalone_emergency,45,60
canada,60a7985f64acbaf,19,4679,212,4467,694,research,52,67
canada,b87a9762ff1ecdc,2722,9808,205,9603,2841,outpatient,125,140
canada,d17135fb399dd4c,981,2164,207,1957,1417,standalone_emergency,16,31
canada,c8efd8a1ae4e3cf,629,8904,121,8783,1306,psychiatric,112,127
canada,d253b3cee134fed,1220,9633,185,9448,2587,speciality,123,138
canada,e67e4dead7f7ac8,947,5977,104,5873,3092,standalone_emergency,70,85
canada,ef56bdce48de5ff,253,5523,200,5323,2793,speciality,64,79
canada,ba907c2acbc34ba,200,2090,134,1956,316,children,15,30
canada,e0da4a69658eaca,2796,4491,127,4364,3292,rehabilitation,49,64
canada,d457875b76d0ad8,1622,3784,289,3495,1980,children,39,54
canada,ca8e1dfba7b1d8d,112,6628,88,6540,1729,children,80,95
chad,ef7e820bc9f7e49,1504,2861,204,2657,1559,children,26,41
chad,a5e8ce5cf97c2ac,154,8128,44,8084,2028,children,101,116
chad,5e2bb2dace9511e,2211,7007,151,6856,3026,rehabilitation,85,100
chad,f8a35a4b5d7b2c1,75,871,197,674,134,children,13,12
chad,795195c9db5e1c0,2119,6977,234,6743,4635,research,85,100
chad,de66a10faf4e5b1,2428,4176,29,4147,4032,speciality,45,60
chad,994aad9baa0bef3,516,2251,57,2194,825,day_surgery,17,32
chile,9aaad5026aa8abf,365,8952,90,8862,5909,children,113,128
chile,afeaf6beef0db13,2682,5687,150,5537,4385,children,66,81
chile,391e22a22e6c77a,4255,8917,37,8880,7485,children,112,127
china,e7e0efaacc8122d,146,1623,215,1408,160,children,8,23
china,ceab4db1cad0adf,473,2828,74,2754,737,children,25,40
china,3f665deb1d8d4e9,6293,8303,245,8058,7693,children,104,119
china,4d6a2a19bf95fc4,66,802,193,609,593,research,4,11
china,dc94cdf6d5bddbd,700,7961,275,7686,5735,rehabilitation,99,114
china,0bcebfcd12bcb7e,1470,5282,221,5061,2962,speciality,60,75
china,8f55cd0ad6dcde2,3179,6202,66,6136,4149,research,74,89
china,a6bc77d5ce07c7b,1687,6947,148,6799,2432,rehabilitation,84,99
china,bcaac3adb10bf1c,1314,6143,290,5853,3560,outpatient,73,88
china,32dffb53469ea98,1857,6330,82,6248,3309,psychiatric,75,90
china,73ab5e45c1e5b55,60,9469,128,9341,84,standalone_emergency,120,135
china,7cf53a7abba2ca1,669,2191,161,2030,1662,standalone_emergency,16,31
china,70eeceee7d6faec,800,2240,278,1962,989,children,17,32
china,1a1402caa5a1f1c,27,4218,87,4131,140,outpatient,45,60
china,699e5b0fe674695,733,9686,222,9464,5120,teaching,123,138
china,35762be17ca3d47,411,1424,150,1274,418,standalone_emergency,5,20
china,de5fc71de825bfc,2223,3825,66,3759,3620,speciality,40,55
colombia,aeec625ffe6bbcc,199,4441,148,4293,3826,children,48,63
colombia,3a3d7c279ef39ed,3365,6864,32,6832,3999,children,83,98
colombia,a9aace4ae9da4e5,450,4066,207,3859,1044,children,43,58
comoros,9fb0f575eda185e,1451,6746,177,6569,3786,children,81,96
comoros,334b91221694b23,20,953,270,683,60,children,6,14
comoros,05bbfbda2ad8e1a,1997,8889,127,8762,6931,children,112,127
congo,6b1bbe5dfdac090,3710,9915,273,9642,6209,research,127,142
congo,da71cdd001e06d6,274,4375,230,4145,918,children,48,63
congo,b7b5ca3592086ed,4155,9684,12,9672,6224,children,123,138
congo,d2b69efedff6f87,23,818,293,525,169,children,9,12
congo,3edc8528529b302,4778,6176,74,6102,5556,children,73,88
congo,a9a62abc02eceeb,1332,8056,242,7814,3269,rehabilitation,100,115
congo,3ee4fbffa7150bc,912,1587,115,1472,1287,psychiatric,8,23
congo,08bccf6da86fba2,87,795,25,770,356,teaching,4,11
cook islands,d343b9db0563a4e,20,346,118,228,105,children,10,5
cook islands,ea75cd979ec705f,610,1243,48,1195,766,research,3,18
cook islands,5b62b5165b3a0c8,336,6307,180,6127,741,children,75,90
cook islands,f9a2fb187bcdc9f,4085,5082,208,4874,4898,children,58,73
cook islands,3ddeb6ddcfc4f51,1669,3634,229,3405,2287,children,37,52
cook islands,cb54d184eb3677f,1270,2776,278,2498,2164,psychiatric,25,40
costa rica,b73e7cac4fae8fe,118,3541,236,3305,164,standalone_emergency,36,51
costa rica,eb43ce5cb105fcc,44,4031,111,3920,60,children,43,58
costa rica,c9dbfbffffef44c,223,3511,110,3401,1576,children,35,50
costa rica,521b3d4a4be241e,458,904,148,756,585,children,3,13
cote d'ivoire,ad2eb3c8c24db87,640,5105,107,4998,3413,children,58,73
cote d'ivoire,50a5cfcded6ad6a,579,816,183,633,629,children,4,12
cote d'ivoire,2e9eeb3cb58afcd,4980,7578,31,7547,5132,children,93,108
cote d'ivoire,6fcb10da7e6f9df,397,640,45,595,629,day_surgery,6,9
croatia,e1dd58a2ced2812,3945,6847,146,6701,6256,children,83,98
croatia,136dd17ebfae94f,23,3160,173,2987,137,children,30,45
cuba,dad2bd3ae5ce86d,2369,4878,249,4629,4510,children,55,70
cuba,fa302496c8b81de,1129,2730,90,2640,1496,day_surgery,24,39
cuba,fddf45e1defebbc,8342,9941,292,9649,9506,children,127,142
cuba,cbd16b4174ded61,1450,8841,28,8813,5393,standalone_emergency,111,126
cuba,5a1abaad8cf84dc,191,1715,257,1458,519,outpatient,10,25
cuba,30aa99fbfaf7ae0,593,6139,284,5855,3300,children,73,88
cyprus,ebd8bceefc9a560,519,7982,79,7903,1028,children,99,114
cyprus,abf8dccabe179f9,1158,9440,231,9209,2761,children,120,135
cyprus,d8eae5c3a1f27ef,262,3822,162,3660,684,day_surgery,40,55
cyprus,ebcf126fe9fdead,440,9283,286,8997,773,children,118,133
cyprus,1c1bc158dee046b,2129,8147,14,8133,5505,psychiatric,101,116
czech republic,f8bd41b97f5e96a,166,8263,265,7998,201,children,103,118
czech republic,0aded4af925c9ec,1644,6572,269,6303,2626,children,79,94
denmark,2f31eddf2db9aae,1175,6991,42,6949,1986,children,25,31
denmark,9e8bdfef88aa4e9,708,3233,262,2971,2629,children,23,40
denmark,f58be3967e3fa62,1547,3242,167,3075,1850,children,17,29
denmark,a7d5585efe783de,1490,5799,30,5769,5166,outpatient,41,76
denmark,c7e8caa3fe0ea9c,2007,3238,273,2965,2434,day_surgery,21,37
denmark,41ec4ddd3f62bbc,2013,9235,119,9116,2240,children,20,35
denmark,0052abdaff57dac,2534,4544,227,4317,3592,children,30,54
dominica,8b43a3446ad871c,1815,4408,46,4362,3202,children,27,48
dominica,477cdccc1e02aad,71,3162,237,2925,841,children,10,15
dominican republic,ff0a16aceaad6de,560,4604,261,4343,2962,children,25,45
dominican republic,cbe3da81dfae3a3,1641,8802,73,8729,7430,speciality,57,109
dominican republic,4beaccfec62bbd7,1197,7755,92,7663,2967,rehabilitation,25,45
dominican republic,a0fe365befc1aab,674,6607,66,6541,5413,children,43,80
dominican republic,c3b6dfaaa57f88c,1703,4077,247,3830,2998,children,25,45
ecuador,f4bdec9dbc6fd93,2,20,234,214,12,children,4,3
ecuador,ec1ddbcbd1c649f,22,2928,103,2825,163,children,5,5
ecuador,cc45ccf52fec2fe,1571,2179,148,2031,1908,children,18,30
ecuador,f1d537929fa45ad,182,4884,198,4686,546,research,8,10
ecuador,f0a58aa2db37dda,851,5052,30,5022,1582,standalone_emergency,15,25
ecuador,23a677cecd2bcac,190,6346,106,6240,577,standalone_emergency,8,11
ecuador,14db63a4ea4212f,1229,5540,288,5252,5017,psychiatric,40,74
ecuador,14db64a4ea4212f,1229,5540,288,5252,5017,children,40,74
egypt,d3e19c1c996c3bb,3056,6151,219,5932,4338,children,35,64
egypt,f932fe8fc8bdbb5,1244,2378,276,2102,2278,children,20,35
egypt,91fc21f3ff0c6a4,410,7454,147,7307,529,children,8,10
egypt,de596ab67e93e2d,3781,9307,121,9186,8989,speciality,68,131
egypt,dee2ebd7e3cac97,185,869,212,657,370,rehabilitation,7,8
eritrea,0ab00dcbeb6d7b1,446,7978,233,7745,924,children,11,16
eritrea,dcbfdc5b5ef0c20,5486,8788,182,8606,6745,children,52,99
eritrea,69dcf87b76e8d91,50,2660,220,2440,1666,children,16,26
eritrea,d2cb5b5e5ac938a,3540,9343,164,9179,5042,standalone_emergency,40,75
estonia,cc06c8c9ac5d4db,1125,2874,208,2666,1167,children,12,19
estonia,0b19f0056c68e6f,609,7664,183,7481,1027,children,11,17
estonia,bc6adfff45c6bdd,58,5650,59,5591,2035,children,19,32
estonia,4eb2ba5bdadcabb,550,1363,12,1351,1162,general,12,19
ethiopia,139ab569bdfce4f,2797,3493,203,3290,3337,children,28,50
ethiopia,eaf5ae0fcbcb4dd,48,6603,150,6453,1547,children,15,25
ethiopia,a483cd7f7b486b4,2178,3427,205,3222,2850,children,24,43
ethiopia,e898490f4b5ccbb,883,4635,90,4545,922,rehabilitation,11,16
ethiopia,5e75d5cd8beb4da,2464,3382,75,3307,3080,children,26,47
falkland islands (malvinas),83f947d8ee5773b,590,3985,114,3871,880,children,10,15
falkland islands (malvinas),f7d126abdba0cb9,220,7067,38,7029,1484,children,15,24
falkland islands (malvinas),f1d5c69dfb934fb,168,2268,220,2048,287,standalone_emergency,6,7
falkland islands (malvinas),5bf4d472d771bd2,656,1903,8,1895,1088,children,12,18
faroe islands,df6af24ee566f49,2207,9170,132,9038,3285,children,27,49
faroe islands,405ee5ec62afbac,2821,4319,186,4133,3046,children,26,46
faroe islands,736e0c8368e8f3d,123,3136,208,2928,667,children,9,12
faroe islands,d1ee04a587a0b6f,42,2726,106,2620,226,rehabilitation,6,6
fiji,dfd2cf9485b11c6,1377,8249,27,8222,3805,children,31,57
finland,df8e88cfabc1f3d,1849,4437,152,4285,3991,children,33,60
finland,c1fbdc26744c6a6,539,4238,43,4195,1854,children,17,29
fiji,3cce7ee2c078d51,263,4587,230,4357,962,children,11,16
finland,27cebbbbcf4e17f,1,36,53,17,8,day_surgery,4,3
france,96bbbefa9d8daec,247,8887,106,8781,8431,children,64,123
france,22f15be620aa6ae,5995,7348,184,7164,6023,speciality,47,89
france,624f5e1c3c0f0a0,4029,6016,190,5826,4679,outpatient,37,69
france,ecdbf14f9f876d7,958,8644,69,8575,1985,general,18,31
france,522809bebbfce43,2556,9329,75,9254,4011,children,33,60
france,ef80e90db608daf,46,3583,59,3524,1309,rehabilitation,13,21
france,ef65aebcdfbc7f2,22,2775,57,2718,61,children,4,3
france,b0bbebb36babb35,1036,8497,26,8471,4858,speciality,39,72
france,f86a2ca7a4def88,420,7464,164,7300,6384,psychiatric,50,94
france,3aecbe853d893db,1164,6826,206,6620,1404,speciality,14,23
france,dcffb6bcb80bc16,2836,9256,234,9022,2985,standalone_emergency,25,45
france,487110e58a9b49f,4406,7806,287,7519,6603,children,51,97
france,bcf355a517cb541,111,871,22,849,303,standalone_emergency,6,7
france,fe7fbd9a048c647,23,275,243,32,128,research,5,4
france,b0e440da717eff9,232,7825,23,7802,2975,speciality,25,45
france,fdcceeffac73497,3080,5197,222,4975,3546,speciality,29,53
france,2c676bfb58d9907,755,1419,184,1235,911,speciality,11,16
gambia,ccb6a3bcccd8bd0,212,1339,196,1143,576,children,8,11
gambia,a66737ce0ccb2c6,2350,4337,205,4132,4033,children,33,60
gambia,8f3d5626d7d4f41,4975,9088,294,8794,5636,research,44,83
gambia,98c2ae97c376cfd,6060,8383,139,8244,7165,day_surgery,55,105
gambia,c2fa8baecc7d0f8,1241,2101,156,1945,1691,day_surgery,16,27
france,61ff50b0caece58,25,1545,122,1423,462,children,7,9
france,dfa6b1cf6ffbddc,187,4243,22,4221,603,day_surgery,8,11
france,06fae819cce7d30,646,2987,113,2874,1239,rehabilitation,13,20
gambia,53bb589efdb6118,399,3399,123,3276,842,research,10,15
gambia,496ed1c0e85d7f5,257,3098,83,3015,1219,general,13,20
gambia,cce3b1c5f77bdf1,280,8423,63,8360,4008,children,33,60
georgia,c3c4eadeddcaacb,777,2674,21,2653,2295,children,20,35
georgia,b6cf3a0fe2a5acd,3455,9286,51,9235,3874,children,32,58
georgia,722a53cbc046cac,2685,9503,291,9212,7500,children,58,110
georgia,dd7b5cbf5bc8fb8,2180,8228,225,8003,3979,general,32,59
georgia,7dc8c8cd1ff23fe,136,3098,177,2921,1185,outpatient,12,19
germany,1f91dfc7bbef29e,374,2495,39,2456,472,outpatient,7,9
germany,a83b7d8ed965d17,93,3842,116,3726,1461,children,14,23
germany,ba4ed05a7e04fec,191,6366,70,6296,354,children,7,8
germany,ac3ce792fadcd5f,1162,4447,244,4203,2306,day_surgery,20,35
germany,b419bfbdf7ceb25,4,3064,238,2826,7,research,4,3
germany,e4a91c4dae32af6,1718,4738,159,4579,1790,children,17,28
germany,bdf0c047e52cdc3,4,6639,213,6426,19,speciality,4,3
germany,c8ee331607f5eba,1726,8986,193,8793,3269,speciality,27,49
germany,7afb4a27bf2fcf7,197,3547,103,3444,977,children,11,16
ghana,f6cfebba4acd3ca,528,5943,181,5762,5794,children,45,85
ghana,4c0ab3fc0bd3e59,156,2037,101,1936,562,children,8,11
gibraltar,f32aed40d49de04,2010,6357,3,6354,3232,children,27,49
gibraltar,a2a1fceed2eb3c9,44,68,85,17,47,children,4,3
gibraltar,ebdafefb1fde197,550,4606,171,4435,1588,children,15,25
gibraltar,c398a370ccfe05f,4114,6176,136,6040,5216,outpatient,41,77
greece,b81ea4bd32537cf,1127,7919,199,7720,1840,day_surgery,17,29
greece,f7adb3a0e3553df,145,5786,125,5661,3370,children,28,51
germany,acc4b161ae09e3e,200,7096,125,6971,2936,psychiatric,25,44
greece,fb9ca60b6cef6da,84,2624,170,2454,552,children,8,10
greece,4cfce7fab148cc8,645,6458,223,6235,2016,children,18,31
greenland,efc5c915acbf437,458,8299,246,8053,2553,children,22,39
greenland,e3b3a0e923874cf,1267,5969,95,5874,5390,children,43,80
greenland,71d0fabef420ac6,793,4484,275,4209,2392,psychiatric,21,37
greenland,a25549b77e0c766,149,9431,30,9401,439,research,7,9
greenland,1f8d1eb79aad8e6,12,48,139,91,29,standalone_emergency,4,3
greenland,00b6a6fdc035ff3,2092,5184,142,5042,2617,research,23,40
greenland,c477dfe441aa317,3460,4680,27,4653,4504,rehabilitation,36,67
greenland,a428fb0f7d1ada4,112,4522,131,4391,131,research,5,4
greenland,dc421a3a9b6d50d,1012,7613,1,7612,4082,general,33,61
greenland,6a4dad8c40aa962,1081,8641,232,8409,2966,speciality,25,45
greenland,4f223d5c80a096d,3659,6839,245,6594,6491,standalone_emergency,50,95
greenland,f3da775bab0f1f7,212,3269,252,3017,326,speciality,6,7
greenland,60abfeaf173adba,477,7846,214,7632,3308,rehabilitation,28,50
greenland,fe6b0d849ea1ff8,2641,9074,53,9021,2700,general,23,41
greenland,bbd8aa10ddeb16b,370,1228,254,974,992,teaching,11,17
greenland,e35517078fc19db,21,2185,295,1890,320,speciality,6,7
greenland,dddbddfcff9f56f,1164,2616,292,2324,1640,children,16,26
greenland,dc47da5dbd7f9a7,54,2008,56,1952,305,general,6,7
greenland,f41fddfa46ad4b8,222,4118,38,4080,242,teaching,6,6
greenland,f21ac01c1c5f5ff,65,8184,157,8027,2105,children,19,33
greenland,a4ff0d1bed7ad9f,3690,9013,287,8726,7005,teaching,54,103
greenland,46671edec7cf6bf,6176,9376,164,9212,9356,standalone_emergency,71,136
greenland,83fb0faf1f3421d,212,2882,209,2673,296,psychiatric,6,7
guinea,9ec666e820d8b6c,122,1615,182,1433,1018,children,11,17
guinea,3ddb89ecd83b533,1594,4467,134,4333,2363,children,21,36
guinea-bissau,6e2fa3d40fdfdec,1203,5840,237,5603,5494,children,43,81
guinea-bissau,e3b672feed6ecba,761,1416,173,1243,1204,children,13,20
guinea-bissau,f4ba33faae5dcc6,322,7607,215,7392,615,teaching,8,11
